fname,lname,phone,checkin,checkout,chekout,roomid,roomstatus,roomtype,roomprice,roombed
Emmi,Grahame,956 511 0647,08/02/2023,12/05/2023,false,1,true,M,$7.86,1
Agnola,Leavy,289 901 9534,11/29/2023,12/05/2023,false,2,false,XS,$5.90,2
Luciana,Blackler,753 225 5490,04/23/2023,12/05/2023,false,3,true,3XL,$3.34,3
Jennilee,Ormesher,134 357 5046,12/31/2022,12/05/2023,true,4,false,XL,$6.47,4
Rogers,Caulket,393 805 4508,07/23/2023,12/05/2023,true,5,false,2XL,$2.85,5
Valentino,Oglevie,236 691 4291,11/02/2023,12/05/2023,false,6,false,3XL,$6.83,6
Raynard,Bleyman,995 182 2395,10/19/2023,12/05/2023,true,7,true,L,$5.92,7
Alain,Rolin,473 452 7524,06/25/2023,12/05/2023,false,8,false,3XL,$9.18,8
Leesa,Euler,391 561 3552,09/10/2023,12/05/2023,false,9,false,XS,$0.56,9
Ber,Abramowitch,627 807 6014,01/13/2023,12/05/2023,true,10,true,M,$0.37,10
Demetris,Messer,759 759 2639,09/30/2023,12/05/2023,false,11,true,L,$3.15,11
Anetta,Cholton,508 287 8267,06/16/2023,12/05/2023,false,12,false,L,$0.55,12
Chelsey,Loalday,876 966 1575,04/28/2023,12/05/2023,true,13,true,2XL,$2.68,13
Casar,Cooling,522 427 4005,01/01/2023,12/05/2023,true,14,false,S,$9.92,14
Petronia,Cranson,996 631 5398,09/13/2023,12/05/2023,false,15,true,3XL,$1.71,15
Agatha,Cowitz,656 366 1986,12/31/2022,12/05/2023,false,16,true,S,$6.91,16
Barry,Gasnell,893 986 5729,11/03/2023,12/05/2023,false,17,false,2XL,$8.52,17
Davina,Borgars,335 433 4295,03/23/2023,12/05/2023,false,18,false,3XL,$2.14,18
Caryl,Gosselin,410 546 8184,04/02/2023,12/05/2023,false,19,false,XL,$9.71,19
Leann,Shemilt,550 326 5371,10/14/2023,12/05/2023,false,20,true,M,$7.66,20
Monique,Pero,491 769 7006,05/19/2023,12/05/2023,true,21,false,L,$4.83,21
Bess,Coppeard,951 256 9749,11/11/2023,12/05/2023,true,22,true,2XL,$8.34,22
Bealle,Ambrus,671 647 7713,09/29/2023,12/05/2023,true,23,true,XS,$9.46,23
Brook,De Hooch,813 253 7255,11/16/2023,12/05/2023,true,24,true,S,$2.21,24
Hayley,Binestead,836 407 0889,04/11/2023,12/05/2023,false,25,false,XL,$8.30,25
Dukey,Hardwich,882 755 5722,02/23/2023,12/05/2023,false,26,true,3XL,$3.28,26
Amandy,Hankin,628 579 1680,06/06/2023,12/05/2023,true,27,true,L,$6.59,27
Oralle,Badby,860 163 0962,12/03/2023,12/05/2023,true,28,true,S,$8.68,28
Urson,Maciejewski,198 401 3281,02/19/2023,12/05/2023,false,29,false,L,$3.87,29
Rhett,Birkbeck,735 351 9867,12/28/2022,12/05/2023,false,30,true,2XL,$4.31,30
Gill,Chellam,657 454 3528,03/12/2023,12/05/2023,true,31,true,M,$4.62,31
Daphna,Oxenham,614 574 7287,01/06/2023,12/05/2023,false,32,false,L,$2.37,32
Karisa,Harner,724 349 7911,03/02/2023,12/05/2023,false,33,true,L,$5.03,33
Allina,Baudin,742 287 3044,01/10/2023,12/05/2023,false,34,true,3XL,$2.16,34
Missie,Chillistone,117 939 0885,07/29/2023,12/05/2023,true,35,true,L,$0.32,35
Reade,Raffon,934 115 8129,07/02/2023,12/05/2023,true,36,false,3XL,$4.18,36
Nert,Haking,640 689 9645,12/05/2022,12/05/2023,false,37,false,S,$1.53,37
Pavla,Rowbottom,188 608 7333,05/12/2023,12/05/2023,false,38,true,2XL,$1.49,38
Whittaker,Hammonds,658 287 7345,11/21/2023,12/05/2023,false,39,false,2XL,$3.12,39
Delaney,Maddams,967 656 6167,08/28/2023,12/05/2023,true,40,false,XS,$8.27,40
Kerianne,Caine,452 361 0319,09/19/2023,12/05/2023,false,41,false,3XL,$9.11,41
Xever,Metzke,251 201 5592,05/31/2023,12/05/2023,true,42,false,XS,$9.37,42
Aura,Cleynman,299 328 4700,02/01/2023,12/05/2023,true,43,false,L,$5.67,43
Carissa,Glazzard,370 130 5580,09/25/2023,12/05/2023,false,44,true,S,$7.85,44
Blythe,Ramiro,149 907 0460,01/19/2023,12/05/2023,false,45,false,XL,$9.23,45
Aloysius,Acreman,829 217 8184,05/17/2023,12/05/2023,false,46,false,XL,$0.86,46
Nonna,Dimitresco,426 414 6432,05/10/2023,12/05/2023,false,47,false,L,$1.37,47
Domenic,Wornum,861 454 6817,08/04/2023,12/05/2023,false,48,true,XL,$6.43,48
Yovonnda,Pegler,670 984 8268,07/01/2023,12/05/2023,true,49,false,L,$7.23,49
Karlyn,Hardin,933 902 3368,11/08/2023,12/05/2023,true,50,true,S,$9.22,50
Christophorus,Di Maggio,199 490 9526,06/01/2023,12/05/2023,false,51,true,M,$2.96,51
Deana,Nowland,591 313 0897,07/17/2023,12/05/2023,true,52,false,M,$0.73,52
Oona,Josef,456 664 2858,07/05/2023,12/05/2023,false,53,true,2XL,$0.73,53
Darbee,Varren,948 929 0535,03/31/2023,12/05/2023,true,54,true,2XL,$3.87,54
Neil,Heaviside,508 670 9017,03/21/2023,12/05/2023,true,55,false,3XL,$1.88,55
Josi,Ault,592 562 9551,04/30/2023,12/05/2023,false,56,false,2XL,$2.53,56
Chick,Mouat,838 717 8845,10/29/2023,12/05/2023,false,57,true,XL,$0.52,57
Wilfred,Tooley,333 514 0192,04/11/2023,12/05/2023,false,58,false,XS,$1.71,58
Electra,Barlee,490 725 1169,08/23/2023,12/05/2023,false,59,false,2XL,$3.11,59
Hamel,Sturr,771 341 7307,08/05/2023,12/05/2023,false,60,true,L,$5.89,60
Errol,Hamlington,720 949 9256,04/03/2023,12/05/2023,false,61,false,XS,$1.08,61
Ellsworth,Darwood,642 706 6473,02/08/2023,12/05/2023,true,62,false,XL,$8.74,62
Blaire,Rutter,143 861 4773,03/01/2023,12/05/2023,false,63,false,XL,$9.25,63
Hedwiga,Divall,984 623 6969,06/05/2023,12/05/2023,true,64,true,2XL,$4.38,64
Vergil,Ladon,844 186 3885,02/24/2023,12/05/2023,false,65,false,M,$7.99,65
Leonora,Vouls,452 882 4666,08/05/2023,12/05/2023,false,66,true,M,$6.36,66
Dom,Carpe,212 845 8103,07/29/2023,12/05/2023,true,67,false,XS,$2.80,67
Felicia,Frankcomb,325 140 7527,03/29/2023,12/05/2023,true,68,false,M,$5.42,68
Truman,Tremmel,422 801 7964,08/31/2023,12/05/2023,true,69,true,2XL,$8.20,69
Sileas,Truckett,721 169 2013,10/28/2023,12/05/2023,true,70,false,M,$3.45,70
Hewett,Duplock,373 842 5569,11/04/2023,12/05/2023,true,71,false,XL,$8.04,71
Adella,Elflain,363 195 5665,12/07/2022,12/05/2023,true,72,true,XS,$5.27,72
Flinn,McKelvie,719 791 2366,07/14/2023,12/05/2023,false,73,true,XL,$6.38,73
Corena,Greedier,753 434 1866,07/02/2023,12/05/2023,false,74,true,XL,$8.65,74
Bentlee,Forman,757 336 8131,11/15/2023,12/05/2023,true,75,true,XS,$6.78,75
Malina,Fendlen,630 504 3542,09/16/2023,12/05/2023,false,76,false,XL,$6.08,76
Christiano,Aupol,679 544 9874,07/14/2023,12/05/2023,true,77,false,L,$5.24,77
Anette,Crackett,547 410 1487,09/29/2023,12/05/2023,false,78,false,XL,$9.01,78
Bertram,Fleming,186 288 9133,05/03/2023,12/05/2023,false,79,false,3XL,$9.08,79
Ezequiel,Imorts,190 967 5416,11/05/2023,12/05/2023,false,80,true,S,$5.60,80
Lindon,Lintot,688 768 4294,12/11/2022,12/05/2023,true,81,true,M,$4.15,81
Huberto,Twopenny,571 607 2407,03/20/2023,12/05/2023,true,82,false,S,$7.59,82
Phyllis,Mundwell,401 344 1287,04/12/2023,12/05/2023,false,83,false,XL,$1.22,83
Anna-diana,D'Enrico,961 570 8107,05/17/2023,12/05/2023,true,84,true,XS,$1.93,84
Kerk,Toovey,690 236 1303,12/01/2023,12/05/2023,true,85,true,M,$9.68,85
Chev,Strawbridge,505 462 1338,01/14/2023,12/05/2023,false,86,true,M,$5.88,86
Raphaela,Graeme,958 679 8881,10/23/2023,12/05/2023,false,87,true,2XL,$7.60,87
Ogdan,Vassman,960 771 8707,05/10/2023,12/05/2023,true,88,true,3XL,$8.39,88
Merell,Ducarne,377 860 9758,04/02/2023,12/05/2023,false,89,true,3XL,$3.45,89
Shermy,Karp,526 486 1263,07/16/2023,12/05/2023,true,90,false,XS,$4.04,90
Hunt,Begbie,139 796 2021,03/18/2023,12/05/2023,true,91,false,XS,$3.59,91
Tremaine,Eccott,658 663 3244,04/16/2023,12/05/2023,true,92,false,S,$8.26,92
Danita,Carlett,705 265 3372,09/12/2023,12/05/2023,false,93,true,XS,$2.71,93
